"taxa","NOP","MER","EOOkm2","AOO2km","EOOcat","AOOcat"
"Senna coimbrae","11","2669.48015320059","967.54636905035","16","EN","EN"
"Aeschynomene denticulata","92","58240228.2491919","28819721.6295077","300","LC","EN"
"Handroanthus selachidentatus","63","725478.728625936","356138.451887585","160","LC","EN"
"Acosmium cardenasii","45","195935.434086764","64683.7998828511","132","LC","EN"
"Bauhinia tuichiensis","10","136.184641637416","67.9722248535466","32","CR","EN"
"Mitracarpus bicrucis","7","0.326292916378198","0.00324887995314598","8","CR","CR"
"Oxypetalum fuscum","5","35576.449251108","16951.7928957293","20","VU","EN"
"Inga approximata","14","82963.4241264435","36796.8584767771","40","LC","EN"
"Arachis chiquitana","11","45476.8565085777","92.1527374956055","8","CR","CR"
"Cascaronia astragalina","21","462821.479042385","207445.272726185","48","LC","EN"
"Blepharodon philibertioides","3","369.78241068491","107.294007280291","12","EN","EN"
"Calea dalyi","10","23586.4679547766","3868.98862446686","16","EN","EN"
"Fosterella vasquezii","8","1700.26397173096","909.508497606605","16","EN","EN"
"Pitcairnia chiquitana","2","11.0444208464535","0","8","CR","CR"
"Manihot fabianae","1","0","0","4","CR","CR"
