"scrubbed_species_binomial","verbatim_family","verbatim_scientific_name","family_matched","name_matched","name_matched_author","higher_plant_group","scrubbed_taxonomic_status","scrubbed_family","scrubbed_author","native_status","native_status_reason","native_status_sources","is_introduced","native_status_country","native_status_state_province","native_status_county_parish","country","state_province","county","locality","latitude","longitude","date_collected","datasource","dataset","dataowner","custodial_institution_codes","collection_code","datasource_id","is_cultivated_observation","is_cultivated_in_region","is_location_cultivated","is_new_world","observation_type","�..record_no","standardized_names","scrubbed_species_binomial","verbatim_family","verbatim_scientific_name","family_matched","name_matched","name_matched_author","higher_plant_group","scrubbed_taxonomic_status","scrubbed_family","scrubbed_author","native_status","native_status_reason","native_status_sources","is_introduced","native_status_country","native_status_state_province","native_status_county_parish","country","state_province","county","locality","latitude","longitude","date_collected","datasource","dataset","dataowner","custodial_institution_codes","collection_code","datasource_id","is_cultivated_observation","is_cultivated_in_region","is_location_cultivated","is_new_world","observation_type",".val",".equ",".zer",".cap",".cen",".sea",".otl",".gbf",".inst",".summary"
"Arachis chiquitana","Fabaceae","Arachis chiquitana Krapov., W.C.Greg. & C.E.Simpson","Fabaceae","Arachis chiquitana","Krapov. & al.","flowering plants","Accepted","Fabaceae","Krapov. & al.","Ne","Endemic to region, as per checklist","tropicos",0,"Ne",NA,NA,"Bolivia","Santa Cruz",NA,"30 km NE de San José, Puesto San Marcos, del Dr. Modesto López, en lugar bajo, arenoso",-17.783333,-60.783333,1980-04-27,"GBIF","Instituto de Botânica, IBT","Instituto de Botânica, IBT","Instituto de Botânica, IBT","SP",3012,0,0,NA,1,"specimen",2,"Acosmium cardenasii","Acosmium cardenasii","Fabaceae","Acosmium cardenasii H.S. Irwin & Arroyo","Fabaceae","Acosmium cardenasii","H.S. Irwin & Arroyo","flowering plants","Accepted","Fabaceae","H.S. Irwin & Arroyo","Ne","Endemic to region, as per checklist","tropicos",0,"Ne",NA,NA,"Bolivia","Santa Cruz","Nuflo de Chavez","Rancho Zapoco, 90 km. SE of ConcepciÃ³n. Rolling plain of precambrian shield, mosaic of semideciduous forest, wooded savanna and savanna wetlands.",-16.5,-61.66666,"21/11/1985","MO","MO","MO","MO",NA,280,0,0,NA,1,"specimen",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
"Aeschynomene denticulata","Fabaceae","Aeschynomene denticulata Rudd","Fabaceae","Aeschynomene denticulata","Rudd","flowering plants","Accepted","Fabaceae","Rudd","N","Native to region, as per checklist","conosur",0,"N","N",NA,"Argentina","Corrientes","Santo Tome","35 km al SW de Santo Tomé, ruta nacional 40",-28.21,-56.23,NA,"GBIF","SI","SI","SI","HERB",3669,0,0,NA,1,"specimen",15,"Acosmium cardenasii","Acosmium cardenasii","Fabaceae","Acosmium cardenasii H.S. Irwin & Arroyo","Fabaceae","Acosmium cardenasii","H.S. Irwin & Arroyo","flowering plants","Accepted","Fabaceae","H.S. Irwin & Arroyo","Ne","Endemic to region, as per checklist","tropicos",0,"Ne",NA,NA,"Bolivia","Santa Cruz",NA,"Quiapaca, 10 km N of Santiago, valley of RÃ­o Tucuvaca dry forest. Transect 1.",-18.33333,-59.5,"16/05/1991","MO","MO","MO","MO",NA,280,0,0,NA,1,"specimen",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
"Oxypetalum fuscum","Apocynaceae","Oxypetalum fuscum Goyder & Fontella","Apocynaceae","Oxypetalum fuscum","Goyder & Fontella","flowering plants","Accepted","Apocynaceae","Goyder & Fontella","Ne","Endemic to region, as per checklist","tropicos",0,"Ne",NA,NA,"Bolivia","Santa Cruz","Florida","5 km (by road) and 3 km (by air) NE of Bermejo, Cerro Herradura, along old horse trail road to Santa Cruz and petroleum pipeline",-18.1166667,-63.6166667,1990-09-25,"MO","MO, NY","MO, NY","MO, NY",NA,280,0,0,NA,1,"specimen",27,"Acosmium cardenasii","Acosmium cardenasii","Fabaceae","Acosmium cardenasii H.S.Irwin & Arroyo","Fabaceae","Acosmium cardenasii","H.S. Irwin & Arroyo","flowering plants","Accepted","Fabaceae","H.S. Irwin & Arroyo","Ne","Endemic to region, as per checklist","tropicos",0,"Ne",NA,NA,"Bolivia","Santa Cruz",NA,"",-17.5,-61.5,"16/05/1991","GBIF","F","F","F","Botany",3567,0,0,NA,1,"specimen",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
"Handroanthus selachidentatus","Bignoniaceae","Tabebuia selachidentata A.H.Gentry","Bignoniaceae","Tabebuia selachidentata","A.H. Gentry","flowering plants","Accepted","Bignoniaceae","(A.H. Gentry) S.O. Grose","N","Native to region, as per checklist","flbr",0,"N","N",NA,"Brazil","Bahia",NA,"Morro do Leão.",-12.716667,-39.683333,1996-10-27,"GBIF","UEFS","UEFS","UEFS","HUEFS",2756,0,0,NA,1,"specimen",29,"Acosmium cardenasii","Acosmium cardenasii","Fabaceae","Acosmium cardenasii H.S. Irwin & Arroyo","Fabaceae","Acosmium cardenasii","H.S. Irwin & Arroyo","flowering plants","Accepted","Fabaceae","H.S. Irwin & Arroyo","Ne","Endemic to region, as per checklist","tropicos",0,"Ne",NA,NA,"Bolivia","Santa Cruz","Nuflo de Chavez","Area de estudio del proyecto \BOLFOR\"", Las Trancas-95. Bosque semideciduo, vegetaciÃ³n de fondo de valles hÃºmedos.""",-16.52027,-61.84638,"19/06/1995","MO","MO, USZ","MO, USZ","MO, USZ",NA,280,0,0,NA,1,"specimen",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
"Bauhinia tuichiensis","Fabaceae","Bauhinia tuichiensis Cayola & A. Fuentes","Fabaceae","Bauhinia tuichiensis","Cayola & A. Fuentes","flowering plants","Accepted","Fabaceae","Cayola & A. Fuentes","Ne","Endemic to region, as per checklist","tropicos",0,"Ne",NA,NA,"Bolivia","La Paz","Franz Tamayo","Parque Nacional Madidi, Azariamas, Rio San Juan. Bosque semideciduo de yungas subandino xerico con Oxandra espintana y Erythrochiton fallax; ladera con exposicion NE. Parcela temporal de muestreo (0,1 ha). Plantas NO alcoholizadas.",-14.2061111,-68.6619444,2005-09-30,"MO","BOLV, LPB, MA, MO, US, USZ","BOLV, LPB, MA, MO, US, USZ","BOLV, LPB, MA, MO, US, USZ",NA,280,0,0,NA,1,"specimen",37,"Acosmium cardenasii","Acosmium cardenasii","Fabaceae","Acosmium cardenasii H.S. Irwin & Arroyo","Fabaceae","Acosmium cardenasii","H.S. Irwin & Arroyo","flowering plants","Accepted","Fabaceae","H.S. Irwin & Arroyo","Ne","Endemic to region, as per checklist","tropicos",0,"Ne",NA,NA,"Bolivia","Santa Cruz","Nuflo de Chavez","Lomerio. A 12 km al Norte de la comunidad Las Trancas. Parcelas permanente del proyecto Bolfor, Las Trancas 95. Bosque seco chiquitano. Especies arbÃ³reas muy frecuentes Anadenanthera colubrina, Poeppigia procera, etc. Suelos laterÃ­ticos.",-16.52027,-61.84638,"09/12/1994","MO","MO, USZ","MO, USZ","MO, USZ",NA,280,0,0,NA,1,"specimen",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
"Aeschynomene denticulata","Fabaceae","Aeschynomene denticulata Rudd","Fabaceae","Aeschynomene denticulata","Rudd","flowering plants","Accepted","Fabaceae","Rudd","N","Native to region, as per checklist","conosur",0,"N","N",NA,"Argentina","Salta","Oran","Abra Grande",-23.37,-64.22,NA,"GBIF","SI","SI","SI","HERB",3669,0,0,NA,1,"specimen",39,"Acosmium cardenasii","Acosmium cardenasii","Fabaceae","Acosmium cardenasii H.S. Irwin & Arroyo","Fabaceae","Acosmium cardenasii","H.S. Irwin & Arroyo","flowering plants","Accepted","Fabaceae","H.S. Irwin & Arroyo","Ne","Endemic to region, as per checklist","tropicos",0,"Ne",NA,NA,"Bolivia","Santa Cruz","Chiquitos","Proyecto Corredor Santa Cruz-Puerto SuÃ¡rez. Laguna ConcepciÃ³n, transiciÃ³n chaqueÃ±o-chiquitano, vegetaciÃ³n alterada en las mÃ¡rgenes del camino y cerca de la laguna.",-17.5319445,-61.3744445,"07/11/1999","MO","MO, USZ","MO, USZ","MO, USZ",NA,280,0,0,NA,1,"specimen",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
"Acosmium cardenasii","Fabaceae","Acosmium cardenasii H.S.Irwin & Arroyo","Fabaceae","Acosmium cardenasii","H.S. Irwin & Arroyo","flowering plants","Accepted","Fabaceae","H.S. Irwin & Arroyo","N","Native to region, as per checklist","flbr",0,"N","N",NA,"Brazil","Mato Grosso do Sul",NA,"Vale de Floresta Estacional Decidual. Solo minério de ferro.",-19.10569,-57.374195,2003-01-28,"GBIF","UNICAMP","UNICAMP","UNICAMP","UEC",2136,0,0,NA,1,"specimen",40,"Acosmium cardenasii","Acosmium cardenasii","Fabaceae","Acosmium cardenasii H.S. Irwin & Arroyo","Fabaceae","Acosmium cardenasii","H.S. Irwin & Arroyo","flowering plants","Accepted","Fabaceae","H.S. Irwin & Arroyo","Ne","Endemic to region, as per checklist","tropicos",0,"Ne",NA,NA,"Bolivia","Santa Cruz",NA,"Quiapaca, 10 km N of Santiago, valley of RÃ­o Tucuvaca dry forest. Transects 7-8.",-18.3333333,-59.5,"16/05/1991","MO","MO, USZ","MO, USZ","MO, USZ",NA,280,0,0,NA,1,"specimen",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
"Aeschynomene denticulata","Fabaceae","Aeschynomene denticulata Rudd","Fabaceae","Aeschynomene denticulata","Rudd","flowering plants","Accepted","Fabaceae","Rudd","N","Native to region, as per checklist","conosur",0,"N",NA,NA,"Paraguay",NA,NA,"Estero Patiño (Sureste) - Estero Patiño, Km 164 de la ruta Trans Chaco/Departamento de Presidente Hayes",-24.05,-59.5,1987-12-20,"GBIF","G","G","G","Geneva Herbarium – General Collection (G)",3547,0,0,NA,1,"specimen",47,"Acosmium cardenasii","Acosmium cardenasii","Fabaceae","Acosmium cardenasii H.S. Irwin & Arroyo","Fabaceae","Acosmium cardenasii","H.S. Irwin & Arroyo","flowering plants","Accepted","Fabaceae","H.S. Irwin & Arroyo","Ne","Endemic to region, as per checklist","tropicos",0,"Ne",NA,NA,"Bolivia","Santa Cruz","Nuflo de Chavez","Municipio de Cuatro CaÃ±adas: ubicado a 100 km de la ciudad de Santa Cruz.  La Empresa Desarrollos Agricolas S.A.-DESA, Propiedad San Rafael se encuentra distante a unos 35 km al sur de la carretera hacia el Dpto. de BenÃ­.  Campameento San Rafael, cortina 70.",-17.2626944,-62.2783889,"11/03/2008","MO","MO, USZ","MO, USZ","MO, USZ",NA,280,0,0,NA,1,"specimen",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
"Aeschynomene denticulata","Fabaceae","Aeschynomene denticulata Rudd","Fabaceae","Aeschynomene denticulata","Rudd","flowering plants","Accepted","Fabaceae","Rudd","N","Native to region, as per checklist","conosur",0,"N","N",NA,"Argentina","Misiones","Capital","Posadas, bañados del Paraná",-27.48,-55.92,NA,"GBIF","SI","SI","SI","HERB",3669,0,0,NA,1,"specimen",49,"Acosmium cardenasii","Acosmium cardenasii","Fabaceae","Acosmium cardenasii H.S.Irwin & Arroyo","Fabaceae","Acosmium cardenasii","H.S. Irwin & Arroyo","flowering plants","Accepted","Fabaceae","H.S. Irwin & Arroyo","Ne","Endemic to region, as per checklist","tropicos",0,"Ne",NA,NA,"Bolivia",NA,NA,"NÃºcleo das Provincia de Chavez. Lomerio. Acampamento Las Trancas. Parcelas permanentes de BOLFOR.",-16.596111,-61.866111,NA,"GBIF","ComissÃ£o Executiva do Plano da Lavoura Cacaueira (CEPLAC)","ComissÃ£o Executiva do Plano da Lavoura Cacaueira (CEPLAC)","ComissÃ£o Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC",2724,0,0,NA,1,"specimen",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
"Acosmium cardenasii","Fabaceae","Acosmium cardenasii H.S.Irwin & Arroyo","Fabaceae","Acosmium cardenasii","H.S. Irwin & Arroyo","flowering plants","Accepted","Fabaceae","H.S. Irwin & Arroyo","N","Native to region, as per checklist","flbr",0,"N","N",NA,"Brazil","Mato Grosso do Sul",NA,"Fazenda São Sebastião do Carandá - próximo ao morro Ladário.",-19.075389,-57.516167,2001-08-06,"GBIF","Fundação Universidade Federal de Mato Grosso do Sul (UFMS)","Fundação Universidade Federal de Mato Grosso do Sul (UFMS)","Fundação Universidade Federal de Mato Grosso do Sul (UFMS)","CGMS",2258,0,0,NA,1,"specimen",74,"Aeschynomene denticulata","Aeschynomene denticulata","Fabaceae","Aeschynomene denticulata Rudd","Fabaceae","Aeschynomene denticulata","Rudd","flowering plants","Accepted","Fabaceae","Rudd","N","Native to region, as per checklist","flbr, conosur",0,"N","N",NA,"Brazil","Pernambuco",NA,"Estrada entre Surubim e Bom Jardim, ca. 15 Km de Surubim. Afloramento rochsoso.",-7.85,-35.666667,"21/07/2002","GBIF","JBRJ","JBRJ","JBRJ","RB",1928,0,0,NA,1,"specimen",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
