"name"	"longitude"	"latitude"	"issues"	"prov"	"key"	"scientificName"	"datasetKey"	"publishingOrgKey"	"installationKey"	"publishingCountry"	"protocol"	"lastCrawled"	"lastParsed"	"crawlId"	"basisOfRecord"	"occurrenceStatus"	"taxonKey"	"kingdomKey"	"phylumKey"	"classKey"	"orderKey"	"familyKey"	"genusKey"	"speciesKey"	"acceptedTaxonKey"	"acceptedScientificName"	"kingdom"	"phylum"	"order"	"family"	"genus"	"species"	"genericName"	"specificEpithet"	"taxonRank"	"taxonomicStatus"	"dateIdentified"	"elevation"	"elevationAccuracy"	"stateProvince"	"year"	"month"	"day"	"eventDate"	"modified"	"lastInterpreted"	"license"	"geodeticDatum"	"class"	"countryCode"	"country"	"rightsHolder"	"recordNumber"	"identifier"	"locality"	"datasetName"	"municipality"	"collectionCode"	"gbifID"	"language"	"occurrenceID"	"type"	"catalogNumber"	"recordedBy"	"institutionCode"	"ownerInstitutionCode"	"identifiedBy"	"occurrenceRemarks"	"individualCount"	"continent"	"nomenclaturalStatus"	"nomenclaturalCode"	"county"	"taxonID"	"bibliographicCitation"	"collectionID"	"institutionID"	"rights"	"coordinateUncertaintyInMeters"	"references"	"habitat"	"preparations"	"verbatimEventDate"	"georeferenceProtocol"	"endDayOfYear"	"startDayOfYear"	"georeferenceSources"	"georeferencedBy"	"dynamicProperties"	"http://unknown.org/recordId"	"georeferenceVerificationStatus"	"otherCatalogNumbers"	"http://unknown.org/recordEnteredBy"	"higherClassification"	"higherGeography"	"organismID"	"locationID"	"datasetID"	"accessRights"	"fieldNumber"	"eventRemarks"	"taxonRemarks"	"typeStatus"	"typifiedName"	"verbatimElevation"	"establishmentMeans"	"georeferenceRemarks"	"previousIdentifications"	"fieldNotes"	"georeferencedDate"	"verbatimCoordinateSystem"	"created"	"associatedSequences"	"verbatimLocality"	"organismRemarks"	"organismQuantity"	"organismQuantityType"	"eventID"	"http://rs.tdwg.org/dwc/terms/organismQuantity"	"higherGeographyID"	"http://rs.tdwg.org/dwc/terms/organismQuantityType"	"parentEventID"	"identificationRemarks"	"associatedTaxa"	"reproductiveCondition"	"http://unknown.org/nick"	"http://unknown.org/occurrenceDetails"	"eventTime"	"identificationID"	"informationWithheld"	"locationRemarks"
"Acosmium cardenasii H.S.Irwin & Arroyo"	"-58.04250"	"-19.078333"	"gass84"	"gbif"	"1901020132"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"2e684fd6-09e2-4661-910a-0a188b610c04"	"60545be9-4f28-4245-b4b4-07635c8dfa54"	"b38ff2b7-c8af-454e-b5af-ee760f0d5bca"	"BR"	"DWC_ARCHIVE"	"2020-09-04T00:39:20.845+0000"	"2020-09-05T06:30:02.236+0000"	" 216"	"PRESERVED_SPECIMEN"	"PRESENT"	"2970530"	"6"	"7707728"	"220"	"1370"	"5386"	"2970503"	"2970530"	"2970530"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"Plantae"	"Tracheophyta"	"Fabales"	"Fabaceae"	"Acosmium"	"Acosmium cardenasii"	"Acosmium"	"cardenasii"	"SPECIES"	"ACCEPTED"	"2013-01-01T00:00:00"	" 129.0"	"  0.0"	"Santa Cruz"	"2013"	" 2"	"21"	"2013-02-21"	"2020-05-08T14:11:36.000+0000"	"2020-09-05T06:30:02.236+0000"	"http://creativecommons.org/licenses/by-nc/4.0/legalcode"	"WGS84"	"Magnoliopsida"	"BO"	"Bolivia (Plurinational State of)"	"HUEFS - Herbario da Universidade Estadual de Feira de Santana"	"12665"	"BRA:UEFS:HUEFS:243598"	"Becera Bosques chiquitanos de transición al Chaco sobre suelos medianamente a mal drenados. Puerto Suárez. Al Oeste-Sur-Oeste em línea recta de la Tacuaral aprox. 1.79 Km."	"HUEFS - Herbario da Universidade Estadual de Feira de Santana"	"German Busch"	"HUEFS"	"1901020132"	"pt"	"BRA:UEFS:HUEFS:243598"	"Collection"	"243598"	"Zenteno-R., F."	"UEFS"	"Universidade Estadual de Feira de Santana"	"F.Zenteno-R."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Acosmium cardenasii H.S.Irwin & Arroyo"	"-58.04667"	"-19.081389"	"gass84"	"gbif"	"1901020151"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"2e684fd6-09e2-4661-910a-0a188b610c04"	"60545be9-4f28-4245-b4b4-07635c8dfa54"	"b38ff2b7-c8af-454e-b5af-ee760f0d5bca"	"BR"	"DWC_ARCHIVE"	"2020-09-04T00:39:20.845+0000"	"2020-09-05T06:30:02.298+0000"	" 216"	"PRESERVED_SPECIMEN"	"PRESENT"	"2970530"	"6"	"7707728"	"220"	"1370"	"5386"	"2970503"	"2970530"	"2970530"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"Plantae"	"Tracheophyta"	"Fabales"	"Fabaceae"	"Acosmium"	"Acosmium cardenasii"	"Acosmium"	"cardenasii"	"SPECIES"	"ACCEPTED"	"2013-01-01T00:00:00"	" 138.0"	"  0.0"	"Santa Cruz"	"2013"	" 2"	"19"	"2013-02-19"	"2020-05-08T14:11:36.000+0000"	"2020-09-05T06:30:02.298+0000"	"http://creativecommons.org/licenses/by-nc/4.0/legalcode"	"WGS84"	"Magnoliopsida"	"BO"	"Bolivia (Plurinational State of)"	"HUEFS - Herbario da Universidade Estadual de Feira de Santana"	"12623"	"BRA:UEFS:HUEFS:243599"	"Becera Bosques chiquitanos de transición al Chaco sobre suelos medianamente a mal drenados. Puerto Suárez. Al Oeste-Sur-Oeste em línea recta de la Tacuaral aprox. 2.28 Km."	"HUEFS - Herbario da Universidade Estadual de Feira de Santana"	"German Busch"	"HUEFS"	"1901020151"	"pt"	"BRA:UEFS:HUEFS:243599"	"Collection"	"243599"	"Zenteno-R., F."	"UEFS"	"Universidade Estadual de Feira de Santana"	"F.Zenteno-R."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Acosmium cardenasii H.S.Irwin & Arroyo"	"-57.78750"	"-19.108611"	"gass84"	"gbif"	"1077323537"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"f9e1895f-4f52-45e7-aa4f-4dea366b7d2d"	"aa3e4a95-dc4c-45fa-9c0a-cecad3a1511f"	"b38ff2b7-c8af-454e-b5af-ee760f0d5bca"	"BR"	"DWC_ARCHIVE"	"2020-08-26T23:23:55.916+0000"	"2020-09-01T16:08:40.817+0000"	" 231"	"PRESERVED_SPECIMEN"	"PRESENT"	"2970530"	"6"	"7707728"	"220"	"1370"	"5386"	"2970503"	"2970530"	"2970530"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"Plantae"	"Tracheophyta"	"Fabales"	"Fabaceae"	"Acosmium"	"Acosmium cardenasii"	"Acosmium"	"cardenasii"	"SPECIES"	"ACCEPTED"	"2010-01-01T00:00:00"	" 153.0"	"  0.0"	"Ms"	"2009"	"10"	"27"	"2009-10-27"	"2019-07-02T17:59:49.000+0000"	"2020-09-01T16:08:40.817+0000"	"http://creativecommons.org/licenses/by-nc/4.0/legalcode"	"WGS84"	"Magnoliopsida"	"BR"	"Brazil"	"CPAP - Herbário CPAP"	"25"	"BRA:CPAP:CPAP:21459"	"Assentamento Tamarineiro II Sul- Sr. Albino Lote 92"	"CPAP - Herbário CPAP"	"Corumbá"	"CPAP"	"1077323537"	"pt"	"BRA:CPAP:CPAP:21459"	"Collection"	"21459"	"Almeida, A. M.; Azevedo, D. T.; Castro, W. J. P.; Reis, V. D. A."	"Empresa Brasileira de Pesquisa Agropecuária"	"Empresa Brasileira de Pesquisa Agropecuária"	"D. T. Azevedo; A. M. Almeida"	"Árvore 15m~ flores de cor amarela, planta apícola pouco frequente. Mata decídua, solo argiloso, relevo plano."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Acosmium cardenasii H.S.Irwin & Arroyo"	"-62.27839"	"-17.262694"	"cdround,gass84,osiic"	"gbif"	"1257880802"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"7bd65a7a-f762-11e1-a439-00145eb45e9a"	"90fd6680-349f-11d8-aa2d-b8a03c50a862"	"c4e134d3-c68f-406d-a116-6a37895602e0"	"US"	"DWC_ARCHIVE"	"2020-09-03T09:46:27.095+0000"	"2020-09-05T07:37:43.729+0000"	" 131"	"PRESERVED_SPECIMEN"	"PRESENT"	"2970530"	"6"	"7707728"	"220"	"1370"	"5386"	"2970503"	"2970530"	"2970530"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"Plantae"	"Tracheophyta"	"Fabales"	"Fabaceae"	"Acosmium"	"Acosmium cardenasii"	"Acosmium"	"cardenasii"	"SPECIES"	"ACCEPTED"	"2008-01-01T00:00:00"	" 262.0"	NA	"Santa Cruz"	"2008"	" 3"	"11"	"2008-03-11"	"2012-10-22T15:44:00.000+0000"	"2020-09-05T07:37:43.729+0000"	"http://creativecommons.org/licenses/by/4.0/legalcode"	"WGS84"	"Magnoliopsida"	"BO"	"Bolivia (Plurinational State of)"	"Missouri Botanical Garden"	"Lazarte 80"	"urn:catalog:MO:Tropicos:100535136"	"Municipio de Cuatro Cañadas: ubicado a 100 km de la ciudad de Santa Cruz.  La Empresa Desarrollos Agricolas S.A.-DESA, Propiedad San Rafael se encuentra distante a unos 35 km al sur de la carretera hacia el Dpto. de Bení.  Campameento San Rafael, cortina 70."	"Tropicos"	NA	"MO"	"1257880802"	NA	"urn:catalog:MO:Tropicos:100535136"	"PhysicalObject"	"100535136"	"M. Lazarte|Carla Maldonado|et al."	"MO"	"MOBOT"	"G.A. Parada (USZ)"	NA	" 1"	"SOUTH_AMERICA"	"Legitimate"	"ICNafp"	"Nuflo de Chavez"	"13001989"	"http://www.tropicos.org/Specimen/100535136"	"http://biocol.org/urn:lsid:biocol.org:col:15859"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Acosmium cardenasii H.S.Irwin & Arroyo"	"-57.78750"	"-19.108611"	"gass84"	"gbif"	"1077323257"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"f9e1895f-4f52-45e7-aa4f-4dea366b7d2d"	"aa3e4a95-dc4c-45fa-9c0a-cecad3a1511f"	"b38ff2b7-c8af-454e-b5af-ee760f0d5bca"	"BR"	"DWC_ARCHIVE"	"2020-08-26T23:23:55.916+0000"	"2020-09-01T16:08:41.429+0000"	" 231"	"PRESERVED_SPECIMEN"	"PRESENT"	"2970530"	"6"	"7707728"	"220"	"1370"	"5386"	"2970503"	"2970530"	"2970530"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"Plantae"	"Tracheophyta"	"Fabales"	"Fabaceae"	"Acosmium"	"Acosmium cardenasii"	"Acosmium"	"cardenasii"	"SPECIES"	"ACCEPTED"	"2010-01-01T00:00:00"	" 153.0"	"  0.0"	"Ms"	"2008"	"11"	"12"	"2008-11-12"	"2019-07-02T17:59:49.000+0000"	"2020-09-01T16:08:41.429+0000"	"http://creativecommons.org/licenses/by-nc/4.0/legalcode"	"WGS84"	"Magnoliopsida"	"BR"	"Brazil"	"CPAP - Herbário CPAP"	"353"	"BRA:CPAP:CPAP:21197"	"Assentamento Tamarineiro II Sul- Sr. Albino Lote 92"	"CPAP - Herbário CPAP"	"Corumbá"	"CPAP"	"1077323257"	"pt"	"BRA:CPAP:CPAP:21197"	"Collection"	"21197"	"Jesus, E. M. ; Almeida, A. M; Oliveira, E. G.; Reis, V. D. A.; Conceição, V."	"Empresa Brasileira de Pesquisa Agropecuária"	"Empresa Brasileira de Pesquisa Agropecuária"	"S. M. Salis"	"Árvore 10-13m~ flores de cor amarela, planta apícola rara. Pasto degradado, solo argiloso, relevo plano."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Acosmium cardenasii H.S.Irwin & Arroyo"	"-57.48533"	"-19.086889"	"gass84"	"gbif"	"1089083198"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"7741a517-ab3d-4b85-ae58-56322e44c8ce"	"d073b448-6b80-4364-8c38-18d08b88797f"	"b38ff2b7-c8af-454e-b5af-ee760f0d5bca"	"BR"	"DWC_ARCHIVE"	"2020-09-04T00:39:24.281+0000"	"2020-09-05T06:17:34.973+0000"	" 210"	"PRESERVED_SPECIMEN"	"PRESENT"	"2970530"	"6"	"7707728"	"220"	"1370"	"5386"	"2970503"	"2970530"	"2970530"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"Plantae"	"Tracheophyta"	"Fabales"	"Fabaceae"	"Acosmium"	"Acosmium cardenasii"	"Acosmium"	"cardenasii"	"SPECIES"	"ACCEPTED"	"2004-02-01T00:00:00"	" 274.0"	"  0.0"	"Mato Grosso do Sul"	"2004"	" 2"	"27"	"2004-02-27"	"2019-08-20T13:11:50.000+0000"	"2020-09-05T06:17:34.973+0000"	"http://creativecommons.org/licenses/by-nc/4.0/legalcode"	"WGS84"	"Magnoliopsida"	"BR"	"Brazil"	"UEC - Herbário da Universidade Estadual de Campinas"	"752"	"BRA:UNICAMP:UEC:140823"	"Serra do Rabichão, Planalto Residual do Urucum. Acesso pela Fazenda Uruba. Interior de Floresta Estacional Decidual."	"UEC - Herbário da Universidade Estadual de Campinas"	"Ladário"	"UEC"	"1089083198"	"pt"	"BRA:UNICAMP:UEC:140823"	"Collection"	"140823"	"Silva, RR; Silva, MV"	"UNICAMP"	"Universidade Estadual de Campinas"	"Silva, RR"	"Árvore de 6 m de altura. Frutos imaturos verdes. Solo ferruginoso."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Acosmium cardenasii H.S.Irwin & Arroyo"	"-57.51006"	"-19.124806"	"gass84"	"gbif"	"1089083187"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"7741a517-ab3d-4b85-ae58-56322e44c8ce"	"d073b448-6b80-4364-8c38-18d08b88797f"	"b38ff2b7-c8af-454e-b5af-ee760f0d5bca"	"BR"	"DWC_ARCHIVE"	"2020-09-04T00:39:24.281+0000"	"2020-09-05T06:17:34.817+0000"	" 210"	"PRESERVED_SPECIMEN"	"PRESENT"	"2970530"	"6"	"7707728"	"220"	"1370"	"5386"	"2970503"	"2970530"	"2970530"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"Plantae"	"Tracheophyta"	"Fabales"	"Fabaceae"	"Acosmium"	"Acosmium cardenasii"	"Acosmium"	"cardenasii"	"SPECIES"	"ACCEPTED"	"2004-02-01T00:00:00"	" 115.0"	"  0.0"	"Mato Grosso do Sul"	"2004"	" 3"	"16"	"2004-03-16"	"2019-08-20T13:11:50.000+0000"	"2020-09-05T06:17:34.817+0000"	"http://creativecommons.org/licenses/by-nc/4.0/legalcode"	"WGS84"	"Magnoliopsida"	"BR"	"Brazil"	"UEC - Herbário da Universidade Estadual de Campinas"	"766"	"BRA:UNICAMP:UEC:140822"	"Serra do Rabichão, Planalto Residual do Urucum. Acesso pela Fazenda Uruba. Lajedo."	"UEC - Herbário da Universidade Estadual de Campinas"	"Ladário"	"UEC"	"1089083187"	"pt"	"BRA:UNICAMP:UEC:140822"	"Collection"	"140822"	"Silva, RR; Silva, MV"	"UNICAMP"	"Universidade Estadual de Campinas"	"Silva, RR"	"Árvore 3,5 m de altura. Frutos imaturos verdes. Solo ferruginoso."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Acosmium cardenasii H.S.Irwin & Arroyo"	"-57.51006"	"-19.124806"	"gass84"	"gbif"	"1089083195"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"7741a517-ab3d-4b85-ae58-56322e44c8ce"	"d073b448-6b80-4364-8c38-18d08b88797f"	"b38ff2b7-c8af-454e-b5af-ee760f0d5bca"	"BR"	"DWC_ARCHIVE"	"2020-09-04T00:39:24.281+0000"	"2020-09-05T06:17:34.808+0000"	" 210"	"PRESERVED_SPECIMEN"	"PRESENT"	"2970530"	"6"	"7707728"	"220"	"1370"	"5386"	"2970503"	"2970530"	"2970530"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"Plantae"	"Tracheophyta"	"Fabales"	"Fabaceae"	"Acosmium"	"Acosmium cardenasii"	"Acosmium"	"cardenasii"	"SPECIES"	"ACCEPTED"	"2004-02-01T00:00:00"	" 367.0"	"  0.0"	"Mato Grosso do Sul"	"2004"	" 3"	"16"	"2004-03-16"	"2019-08-20T13:11:50.000+0000"	"2020-09-05T06:17:34.808+0000"	"http://creativecommons.org/licenses/by-nc/4.0/legalcode"	"WGS84"	"Magnoliopsida"	"BR"	"Brazil"	"UEC - Herbário da Universidade Estadual de Campinas"	"766A"	"BRA:UNICAMP:UEC:140821"	"Serra do Rabichão, Planalto Residual do Urucum. Acesso pela Fazenda Uruba. Interior de Floresta Estacional Decidual."	"UEC - Herbário da Universidade Estadual de Campinas"	"Ladário"	"UEC"	"1089083195"	"pt"	"BRA:UNICAMP:UEC:140821"	"Collection"	"140821"	"Silva, RR; Silva, MV"	"UNICAMP"	"Universidade Estadual de Campinas"	"Silva, RR"	"Árvore 3,5 m de altura. Frutos imaturos verdes. Solo ferruginoso."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Acosmium cardenasii H.S.Irwin & Arroyo"	"-57.48700"	"-19.091333"	"gass84"	"gbif"	"1089083325"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"7741a517-ab3d-4b85-ae58-56322e44c8ce"	"d073b448-6b80-4364-8c38-18d08b88797f"	"b38ff2b7-c8af-454e-b5af-ee760f0d5bca"	"BR"	"DWC_ARCHIVE"	"2020-09-04T00:39:24.281+0000"	"2020-09-05T06:17:34.834+0000"	" 210"	"PRESERVED_SPECIMEN"	"PRESENT"	"2970530"	"6"	"7707728"	"220"	"1370"	"5386"	"2970503"	"2970530"	"2970530"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"Plantae"	"Tracheophyta"	"Fabales"	"Fabaceae"	"Acosmium"	"Acosmium cardenasii"	"Acosmium"	"cardenasii"	"SPECIES"	"ACCEPTED"	"2004-05-01T00:00:00"	" 277.0"	"  0.0"	"Mato Grosso do Sul"	"2004"	" 5"	"18"	"2004-05-18"	"2019-08-20T13:11:50.000+0000"	"2020-09-05T06:17:34.834+0000"	"http://creativecommons.org/licenses/by-nc/4.0/legalcode"	"WGS84"	"Magnoliopsida"	"BR"	"Brazil"	"UEC - Herbário da Universidade Estadual de Campinas"	"954"	"BRA:UNICAMP:UEC:140974"	"Serra do Rabichão, Planalto Residual do Urucum. Acesso pela Fazenda Uruba. Interior de Floresta Estacional Decidual."	"UEC - Herbário da Universidade Estadual de Campinas"	"Ladário"	"UEC"	"1089083325"	"pt"	"BRA:UNICAMP:UEC:140974"	"Collection"	"140974"	"Silva, RR; Silva, MV"	"UNICAMP"	"Universidade Estadual de Campinas"	"Silva, RR"	"Árvore de 7 m de altura. Frutos imaturos verdes. Solo ferruginoso."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Acosmium cardenasii H.S.Irwin & Arroyo"	"-57.67133"	"-19.220917"	"gass84"	"gbif"	"1089084176"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"7741a517-ab3d-4b85-ae58-56322e44c8ce"	"d073b448-6b80-4364-8c38-18d08b88797f"	"b38ff2b7-c8af-454e-b5af-ee760f0d5bca"	"BR"	"DWC_ARCHIVE"	"2020-09-04T00:39:24.281+0000"	"2020-09-05T06:17:30.492+0000"	" 210"	"PRESERVED_SPECIMEN"	"PRESENT"	"2970530"	"6"	"7707728"	"220"	"1370"	"5386"	"2970503"	"2970530"	"2970530"	"Acosmium cardenasii H.S.Irwin & Arroyo"	"Plantae"	"Tracheophyta"	"Fabales"	"Fabaceae"	"Acosmium"	"Acosmium cardenasii"	"Acosmium"	"cardenasii"	"SPECIES"	"ACCEPTED"	"2004-09-01T00:00:00"	" 246.0"	"  0.0"	"Mato Grosso do Sul"	"2004"	" 7"	"29"	"2004-07-29"	"2019-08-20T13:11:50.000+0000"	"2020-09-05T06:17:30.492+0000"	"http://creativecommons.org/licenses/by-nc/4.0/legalcode"	"WGS84"	"Magnoliopsida"	"BR"	"Brazil"	"UEC - Herbário da Universidade Estadual de Campinas"	"1038"	"BRA:UNICAMP:UEC:141954"	"Serra Tromba dos Macacos, Planalto Residual do Urucum. Acesso pela Fazenda Vovô Osvaldo. Borda de Floresta Estacional Decidual."	"UEC - Herbário da Universidade Estadual de Campinas"	"Corumbá"	"UEC"	"1089084176"	"pt"	"BRA:UNICAMP:UEC:141954"	"Collection"	"141954"	"Silva, RR; Velásquez, JS"	"UNICAMP"	"Universidade Estadual de Campinas"	"Silva, RR"	"Árvore de 13m de altura. Frutos imaturos verdes, maduros castanhos. Solo ferruginoso."	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
