record_no,standardized_names,scrubbed_species_binomial,verbatim_family,verbatim_scientific_name,family_matched,name_matched,name_matched_author,higher_plant_group,scrubbed_taxonomic_status,scrubbed_family,scrubbed_author,native_status,native_status_reason,native_status_sources,is_introduced,native_status_country,native_status_state_province,native_status_county_parish,country,state_province,county,locality,latitude,longitude,date_collected,datasource,dataset,dataowner,custodial_institution_codes,collection_code,datasource_id,is_cultivated_observation,is_cultivated_in_region,is_location_cultivated,is_new_world,observation_type
1,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,NA,NA,Brazil,NA,NA,Morro de ZÃ© Feliciano.,-19.02,-57.65,09/10/1985,GBIF,K,K,K,Herbarium,3716,1,0,NA,1,specimen
2,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S. Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,Ne,"Endemic to region, as per checklist",tropicos,0,Ne,NA,NA,Bolivia,Santa Cruz,Nuflo de Chavez,"Rancho Zapoco, 90 km. SE of ConcepciÃ³n. Rolling plain of precambrian shield, mosaic of semideciduous forest, wooded savanna and savanna wetlands.",-16.5,-61.66666,21/11/1985,MO,MO,MO,MO,NA,280,0,0,NA,1,specimen
3,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,Terras,-19.1,-57.783333,15/05/1992,GBIF,Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),CPAP,2018,0,0,NA,1,specimen
4,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,"SopÃ© da Serra Santa Cruz, Planalto Residual do Urucum. &nf;Escarpa de Floresta Estacional Decidual.",-19.1659,-57.3429,19/10/2004,GBIF,UNICAMP,UNICAMP,UNICAMP,UEC,2136,0,0,NA,1,specimen
5,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,Vale de Floresta Estacional Decidual. Solo minÃ©rio de ferro.,-19.10569,-57.374195,28/01/2003,GBIF,UNICAMP,UNICAMP,UNICAMP,UEC,2136,0,0,NA,1,specimen
6,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,"Serra do RabichÃ£o, Planalto Residual do Urucum. Acesso pela Fazenda Uruba. Lajedo.",-19.06893,-57.30362,16/03/2004,GBIF,UNICAMP,UNICAMP,UNICAMP,UEC,2136,0,0,NA,1,specimen
7,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S. Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,Ne,"Endemic to region, as per checklist",tropicos,0,Ne,NA,NA,Bolivia,Santa Cruz,Chiquitos,"Cerro MutÃºn, 7 km. al NE da la pista de aterrizaje del campamento minero (25 km. al S. de Puerto SuÃ¡rez). Bosque seco del fondo del valle (quebrada) y ladera con afloramientos rocosos. Vegetacion natural intervenida por chaqueo y sometida a quemas periÃ³dicas. Arboles hasta 20 m. de altura.",-18.18416,-57.86861,17/10/1994,MO,MO,MO,MO,NA,280,0,0,NA,1,specimen
8,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,Terras,-19.816667,-57.233333,30/05/1989,GBIF,Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),Empresa Brasileira de Pesquisa AgropecuÃ¡ria (EMBRAPA),CPAP,2018,0,0,NA,1,specimen
9,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S.Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,N,"Native to region, as per checklist",flbr,0,N,N,NA,Brazil,Mato Grosso do Sul,NA,"Serra do Jacadigo, Planalto Residual do Urucum.",-19.13853,-57.50486,30/07/2004,GBIF,UNICAMP,UNICAMP,UNICAMP,UEC,2136,0,0,NA,1,specimen
10,Acosmium cardenasii,Acosmium cardenasii,Fabaceae,Acosmium cardenasii H.S. Irwin & Arroyo,Fabaceae,Acosmium cardenasii,H.S. Irwin & Arroyo,flowering plants,Accepted,Fabaceae,H.S. Irwin & Arroyo,Ne,"Endemic to region, as per checklist",tropicos,0,Ne,NA,NA,Bolivia,Santa Cruz,Chiquitos,"Cerro MutÃºn, 7 km al NE de la pista de aterrizaje del campamento minero (25 km al S de Puerto SuÃ¡rez). Bosque seco del fondo del valle (quebrada) y ladera con afloramientos rocosos. Vegetacion natural intervenida por chaqueo y sometida a quemas periÃ³dicas. Arboles hasta 20 m de altura.",-18.18416,-57.86861,NA,MO,"F, USZ","F, USZ","F, USZ",NA,280,0,0,NA,1,specimen
